"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"DHB"	"Himantura bleekeri"
"DHC"	"Himantura chaophraya"
"DHD"	"Himantura draco"
"DHF"	"Raie fouet"
"DHU"	"Himantura fluviatilis"
"DHG"	"Himantura gerrardi"
"DHR"	"Himantura granulata"
"DHM"	"Himantura imbricata"
"DHJ"	"Himantura jenkinsii"
"DHE"	"Himantura krempfi"
"DHN"	"Himantura marginata"
"DHX"	"Himantura oxyrhynchus"
"DHP"	"Himantura pacifica"
"DHH"	"Pastenague chupare"
"DHS"	"Himantura signifer"
"DHT"	"Himantura toshi"
"DHV"	"Pastenague indienne"
"DHL"	"Himantura undulata"
"DHW"	"Himantura walga"
"PPT"	"Potamotrygon constellata"
"PPY"	"Potamotrygon hystrix"
"PPE"	"Potamotrygon laticeps"
"PPM"	"Potamotrygon magdalenae"
"PPR"	"Potamotrygon motoro"
"PPI"	"Potamotrygon scobina"
"PPP"	"Potamotrygon yepezi"
"MAF"	"Aetobatus flagellum"
"MAE"	"Aigle de mer léopard"
"MAO"	"Aetobatus ocellatus"
"MYL"	"Aigle commun"
"MYR"	"Myliobatis australis"
"MYF"	"Myliobatis californica"
"MYH"	"Myliobatis chilensis"
"MYM"	"Aigle de mer taureau"
"MYO"	"Aigle de mer du sud"
"MYY"	"Myliobatis hamlyni"
"MYT"	"Myliobatis longirostris"
"MYD"	"Myliobatis tenuicaudatus"
"MYJ"	"Myliobatis tobijei"
"MPA"	"Pteromylaeus asperrimus"
"MPO"	"Aigle vachette"
"MRA"	"Rhinoptera adspersa"
"MRB"	"Mourine américaine"
"MRR"	"Rhinoptera brasiliensis"
"MRJ"	"Rhinoptera javanica"
"MRY"	"Rhinoptera jayakari"
"MRM"	"Mourine lusitanienne"
"MRN"	"Rhinoptera neglecta"
"MRS"	"Rhinoptera steindachneri"
"RYM"	"Aetomylaeus maculatus"
"RYV"	"Aetomylaeus milvus"
"RYH"	"Aetomylaeus niehofii"
"RYE"	"Aetomylaeus vespertilio"
"RMA"	"Mobula alfredi"
"RMB"	"Mante géante"
"RMC"	"Mobula coilloti"
"RME"	"Mobula eregoodootenkee"
"RMH"	"Mante diable"
"RMJ"	"Mante aiguillat"
"RMK"	"Petit diable"
"RMM"	"Mobula mobular"
"RMU"	"Mobula munkiana"
"RMR"	"Mobula robertsi"
"RMN"	"Petit diable de Guinée"
"RMT"	"Mobula tarapacana"
"RMO"	"Mante vampire"
"RGL"	"Raie-papillon épineuse"
"RGU"	"Gymnura australis"
"RGC"	"Gymnura crebripunctata"
"RGJ"	"Gymnura japonica"
"RGM"	"Raie-papillon californienne"
"RGI"	"Raie-papillon glabre"
"RGP"	"Gymnura poecilura"
"RGT"	"Gymnura tentaculata"
"RGZ"	"Gymnura zonura"
"HHB"	"Hexatrygon bickelli"
"HHL"	"Hexatrygon longirostra"
"RTJ"	"Trygonoptera javanica"
"RTK"	"Trygonoptera kaiana"
"RTU"	"Trygonoptera mucosa"
"RTO"	"Trygonoptera ovalis"
"RTP"	"Trygonoptera personata"
"RUR"	"Urolophus armatus"
"RUU"	"Urolophus aurantiacus"
"RUC"	"Urolophus bucculentus"
"RUI"	"Urolophus circularis"
"TOB"	"Tor tambroides"
"PTP"	"Tor putitora"
"PTT"	"Barbeau tor"
"TOK"	"Tor khudree"
"TZD"	"Tor douronensis"
"TZS"	"Tor soro"
"BRL"	"Barilius barila"
"BLA"	"Barilius barna"
"BLO"	"Barilius bola"
"BRH"	"Barilius shacra"
"BRJ"	"Barilius tileo"
"BRV"	"Barilius vagra"
"BRR"	"Barilius bakeri"
"BLD"	"Barilius bendelisis"
"BDA"	"Brachydanio acuticephala"
"NTA"	"Notropis atherinoides"
"NTB"	"Notropis bairdi"
"NTP"	"Notropis boops"
"NTD"	"Notropis dorsalis"
"NTG"	"Notropis girardi"
"NTE"	"Notropis heterodon"
"NTR"	"Notropis heterolepis"
"NTU"	"Notropis hudsonius"
"NTL"	"Notropis longirostris"
"NTN"	"Notropis lutipinnis"
"NTS"	"Notropis nubilus"
"NTQ"	"Notropis rubellus"
"NTI"	"Notropis rupestris"
"NRS"	"Notropis signipinnis"
"NRT"	"Notropis stramineus"
"NRX"	"Notropis texanus"
"NRV"	"Notropis volucellus"
"HME"	"Hemibarbus labeo"
"ROG"	"Rohtee ogilbii"
"ABC"	"Amblypharyngodon microlepis"
"ABO"	"Amblypharyngodon mola"
"ABL"	"Amblypharyngodon melettinus"
"ENA"	"Rastrineobola argentea"
"AHS"	"Acanthobrama lissneri"
"AHT"	"Acanthobrama terraesanctae"
"PMP"	"Tête de boule"
"ARH"	"Neolissochilus hexagonolepis"
"HSY"	"Hesperoleucus symmetricus"
"WAB"	"Brème de Pékin"
"SQK"	"Squaliobarbus curriculus"
"LTL"	"Culter alburnus"
"ZAP"	"Zacco platypus"
"AZH"	"Anaecypris hispanica"
"GRD"	"Garra dembeensis"
"GRG"	"Garra ghorensis"
"GRT"	"Garra gotyla"
"GRK"	"Garra lamta"
