RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,SpecVal,Sex,TotalNo,CatIdentifier,NoMeas,SubFactor,SubWgt,CatCatchWgt,LngtCode,LngtClass,HLNoAtLngt,DevStage,LenMeasType,ValidAphiaID,ScientificName_WoRMS,DateofCalculation
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88023,23,1988,W,127066,1,-9,15.56,1,7,1.0000,-9,1555,.,160,6.67,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88023,23,1988,W,127066,1,-9,15.56,1,7,1.0000,-9,1555,.,170,6.67,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88023,23,1988,W,127066,1,-9,15.56,1,7,1.0000,-9,1555,.,290,2.22,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88037,37,1988,W,127066,1,-9,2.00,1,1,1.0000,-9,600,.,270,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88052,52,1988,W,127066,1,-9,4.00,1,1,1.0000,-9,400,.,170,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88034,34,1988,W,127066,1,-9,3.87,1,2,1.0000,-9,1741,.,270,1.94,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88034,34,1988,W,127066,1,-9,3.87,1,2,1.0000,-9,1741,.,300,1.94,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88011,11,1988,W,127066,1,-9,21.00,1,7,1.0000,-9,5399,.,70,3.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88011,11,1988,W,127066,1,-9,21.00,1,7,1.0000,-9,5399,.,160,3.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88011,11,1988,W,127066,1,-9,21.00,1,7,1.0000,-9,5399,.,170,3.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88011,11,1988,W,127066,1,-9,21.00,1,7,1.0000,-9,5399,.,180,3.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88011,11,1988,W,127066,1,-9,21.00,1,7,1.0000,-9,5399,.,260,3.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88011,11,1988,W,127066,1,-9,21.00,1,7,1.0000,-9,5399,.,280,3.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88011,11,1988,W,127066,1,-9,21.00,1,7,1.0000,-9,5399,.,360,3.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88020,20,1988,W,127066,1,-9,3.75,1,1,1.0000,-9,3,.,160,3.75,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88010,10,1988,W,127066,1,-9,16.00,1,8,1.0000,-9,1399,.,160,6.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88010,10,1988,W,127066,1,-9,16.00,1,8,1.0000,-9,1399,.,170,8.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88010,10,1988,W,127066,1,-9,16.00,1,8,1.0000,-9,1399,.,180,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88013,13,1988,W,127066,1,-9,14.00,1,7,1.0000,-9,2000,.,150,2.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88013,13,1988,W,127066,1,-9,14.00,1,7,1.0000,-9,2000,.,160,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
HL,FR-CGFS,4,FR,35GD,GOV,50,-9,R,C88013,13,1988,W,127066,1,-9,14.00,1,7,1.0000,-9,2000,.,170,4.00,-9,-9,127066,Spondyliosoma cantharus,20170914
