"LIEU_COD"	"LIEU_LIB"	"DEPARTEMENT_COD"	"REGION_LIB"	"PAYS_COD"
"GBESH"	"Shoreham-by-Sea"	"..."	"Surrey, East and West Sussex (Surrey, Est et Ouest Sussex)"	"GBR"
"DKSKA"	"Skagen"	"..."	"Autre région (DNK)"	"DNK"
"SMN"	"L'Eguille"	"17"	"Nouvelle-Aquitaine"	"FRA"
"ESSDR"	"Santander"	"..."	"Autre région (ESP)"	"ESP"
"SPL"	"Buguélès (Penvénan)"	"22"	"Bretagne"	"FRA"
"ESSPO"	"Santa Pola"	"..."	"Autre région (ESP)"	"ESP"
"GBSTO"	"Stornoway"	"..."	"Highlands and Islands (Highlands et les îles)"	"GBR"
"TAC"	"La Passerelle (Gujan-Mestras)"	"33"	"Nouvelle-Aquitaine"	"FRA"
"TBR"	"Kérascouët (Hôpital-Camfrout)"	"29"	"Bretagne"	"FRA"
"TBX"	"Saint-Christoly-Médoc"	"33"	"Nouvelle-Aquitaine"	"FRA"
"TCH"	"Chausey (Granville)"	"50"	"Normandie"	"FRA"
"GHTEM"	"Tema"	"..."	"Autre région (GHA)"	"GHA"
"TMN"	"Chaillevette"	"17"	"Nouvelle-Aquitaine"	"FRA"
"ESTOR"	"Torrevieja"	"..."	"Autre région (ESP)"	"ESP"
"TPL"	"Landrellec (Pleumeur-Bodou)"	"22"	"Bretagne"	"FRA"
"GBTRN"	"Troon"	"..."	"South Western Scotland (Sud-Ouest Ecosse)"	"GBR"
"UAC"	"Larros (Gujan-Mestras)"	"33"	"Nouvelle-Aquitaine"	"FRA"
"UBR"	"Landévennec"	"29"	"Bretagne"	"FRA"
"UCH"	"Granville"	"50"	"Normandie"	"FRA"
"GBULL"	"Ullapool"	"..."	"Highlands and Islands (Highlands et les îles)"	"GBR"
"UMN"	"Soubise"	"17"	"Nouvelle-Aquitaine"	"FRA"
"VAC"	"Le Canal (Gujan-Mestras)"	"33"	"Nouvelle-Aquitaine"	"FRA"
"IEVAL"	"Valentia"	"..."	"Autre région (IRL)"	"IRL"
"VBR"	"Le Frêt (Crozon)"	"29"	"Bretagne"	"FRA"
"VBX"	"Libourne"	"33"	"Nouvelle-Aquitaine"	"FRA"
"VCH"	"Avranches"	"50"	"Normandie"	"FRA"
"SCVIC"	"Victoria (Seychelles)"	"..."	"Autre région (SYC)"	"SYC"
"ESVGO"	"Vigo"	"..."	"Autre région (ESP)"	"ESP"
"VMN"	"Saint-Nazaire-sur-Charente (Charron)"	"17"	"Nouvelle-Aquitaine"	"FRA"
"ESVIV"	"Viveiro"	"..."	"Autre région (ESP)"	"ESP"
"WAC"	"Arcachon HC (ens. de communes)"	"33"	"Nouvelle-Aquitaine"	"FRA"
"WBA"	"Bayonne HC (ens. de communes)"	"64"	"Nouvelle-Aquitaine"	"FRA"
"WBX"	"Estuaire de la Gironde (ens. de communes)"	"33"	"Nouvelle-Aquitaine"	"FRA"
"WLR"	"La Rochelle HC (ens. de communes)"	"17"	"Nouvelle-Aquitaine"	"FRA"
"WLS"	"Les Sables-d'Olonne HC (ens. de communes)"	"85"	"Pays de la Loire"	"FRA"
"WMN"	"Marennes HC (ens. de communes)"	"17"	"Nouvelle-Aquitaine"	"FRA"
"WNA"	"Estuaire de la Loire (ens. de communes)"	"44"	"Pays de la Loire"	"FRA"
"WNO"	"Noirmoutier HC (ens. de communes)"	"85"	"Pays de la Loire"	"FRA"
"XAC"	"Arcachon"	"33"	"Nouvelle-Aquitaine"	"FRA"
"XAD"	"Audierne"	"29"	"Bretagne"	"FRA"
"XAJ"	"Ajaccio (Tino Rossi)"	"2A"	"Corse"	"FRA"
"XAY"	"Auray"	"56"	"Bretagne"	"FRA"
"XBA"	"Bayonne"	"64"	"Nouvelle-Aquitaine"	"FRA"
"XBI"	"Bastia"	"2B"	"Corse"	"FRA"
"XBL"	"Boulogne-sur-Mer"	"62"	"Hauts-de-France"	"FRA"
"XBR"	"Brest"	"29"	"Bretagne"	"FRA"
"XBX"	"Bordeaux"	"33"	"Nouvelle-Aquitaine"	"FRA"
"XCC"	"Concarneau"	"29"	"Bretagne"	"FRA"
"XCH"	"Cherbourg"	"50"	"Normandie"	"FRA"
"XCN"	"Caen"	"14"	"Normandie"	"FRA"
"XCY"	"Cayenne"	"973"	"Guyane"	"FRA"
"XDI"	"Dzaoudzi"	"976"	"Mayotte"	"FRA"
"XDK"	"Dunkerque"	"59"	"Hauts-de-France"	"FRA"
"XDP"	"Dieppe"	"76"	"Normandie"	"FRA"
"XDZ"	"Douarnenez"	"29"	"Bretagne"	"FRA"
"XFC"	"Fécamp"	"76"	"Normandie"	"FRA"
"XFF"	"Fort-de-France"	"972"	"Martinique"	"FRA"
"XFK"	"Port-aux-Francais"	"984"	"Territoires français d'outre-mer"	"FRA"
"XGV"	"Guilvinec"	"29"	"Bretagne"	"FRA"
"XLH"	"Le Havre"	"76"	"Normandie"	"FRA"
