"ENGIN_COD"	"ENGIN_LIB"
"PS"	"Filets tournants avec coulisse (sennes coulissantes)"
"PS1"	"Sennes (à poche) manoeuvrées par un bateau"
"PS2"	"Sennes (à poche) manoeuvrées par deux bateaux"
"LA"	"Filets tournants sans coulisse (filet lamparo)"
"SB"	"Sennes de plage"
"SV"	"Sennes halées à bord"
"SDN"	"Sennes de fond danoise"
"SSC"	"Sennes de fond écossaise"
"SPR"	"Sennes boeufs de fond"
"SX"	"Sennes (non spécifiées)"
"TBB"	"Chaluts à perche"
"OTB"	"Chaluts de fond à panneaux"
"PTB"	"Chaluts boeufs de fond"
"TBN"	"Chaluts à langoustines"
"TBS"	"Chaluts à crevettes (fond)"
"TB"	"Chaluts de fond (non spécifié)"
"OTM"	"Chaluts pélagiques à panneaux"
"PTM"	"Chaluts boeufs pélagiques"
"TMS"	"Chaluts à crevettes (mi-profondeur)"
"TM"	"Chaluts pélagiques (non spécifiés)"
"OTT"	"Chaluts jumeaux à panneaux"
"OT"	"Chaluts à panneaux (non spécifiés)"
"PT"	"Chaluts boeufs (non spécifiés)"
"TX"	"Autres chaluts (non spécifiés)"
"DRB"	"Dragues remorquées par bateau"
"DRH"	"Dragues à main"
"LNP"	"Filets soulevés portatifs"
"LNB"	"Filets soulevés manoeuvrés du bateau"
"LNS"	"Filets soulevés fixes manoeuvrés du rivage"
"LN"	"Filets soulevés (non spécifiés)"
"FCN"	"Eperviers"
"FG"	"Autres engins retombants (non spécifiés)"
"GNS"	"Filets maillants calés (ancrés, filets maillants de fond à une nappe)"
"GND"	"Filets maillants dérivants (filets dérivants)"
"GNC"	"Filets maillants encerclants"
"GNF"	"Filets maillants fixes (sur perches)"
"GTR"	"Trémails"
"GTN"	"Trémails et filets maillants combinés"
"GEN"	"Filets maillants et filets emmêlants (non spécifiés)"
"GN"	"Filets maillants (non spécifiés)"
"FPN"	"Filets pièges fixes non couverts"
"FPO"	"Nasses (casiers non spécifiés)"
"FYK"	"Verveux"
"FSN"	"Filets à l'étalage (diables)"
"FWR"	"Barrages, parcs, bordigues,etc."
"FAR"	"Pièges aériens"
"FIX"	"Pièges (non spécifiés)"
"LHP"	"Lignes à main et lignes avec cannes (manoeuvrées à la main)"
"LHM"	"Lignes à main et lignes avec cannes (mécanisées)"
"LLS"	"Palangres calées (fixes)"
"LLD"	"Palangres dérivantes"
"LL"	"Palangres (non spécifiées)"
"LTL"	"Lignes de traîne"
"LX"	"Hameçons et lignes (non spécifiés)"
"HAR"	"Harpons"
"MPM"	"Pompes"
"DRM"	"Dragues mécanisées"
"HMX"	"Engins de récolte (non spécifiés)"
"MIS"	"Divers engins de pêche"
"RG"	"Engins de pêche récréative"
"NK"	"Engins de pêche inconnus ou non spécifiés"
"BTF"	"Engins à appâts vivants"
"CTB"	"Chalut de fond pour crustacés"
"DHB"	"Dragues à main manoeuvrées à partir du bateau"
"DHS"	"Dragues à main manoeuvrées à partir du rivage"
"DRX"	"Dragues (non spécifiées)"
"FAG"	"Balais, Fagots "
"FDV"	"Apnée "
"MHI"	"Pêche à pied"
"GES"	"Tamis "
"HMS"	"Scoubidou "
"LH"	"Lignes à main"
"LVD"	"Palangres verticales dérivantes"
"LVS"	"Palangres verticales de fond"
"NO"	"Pas d'engin"
"OFG"	"Autres engins fixes et autres (autres arts dormants)"
"OTG"	"Autres engins remorqués (autres arts traînants)"
"SDV"	"Plongée sous-marine "
"TMB"	"Gangui "
"LLF"	"Palangres calées flottantes"
"LSP"	"Lignes calées (avec ou sans canne)"
"LTS"	"Lignes de traîne de surface"
"LTP"	"Lignes de traîne profondes"
"GNE"	"Filets flottants (maillants calés)"
"LTF"	"Lignes traînantes de fond"
"HRK"	"Râteau et assimilé (dont gaffe, raballe, frelotte, main de fer et râteau à coiffe)"
"FIE"	"Couteau et assimilé (dont faux, faucillon à panier, ciseaux, serpette, triangle, détroqueur)"
"FID"	"Pelle, fourche et assimilé (dont cuillère, fourchette, binette)"
"PRE"	"Charter de pêche de loisir"
"FIT"	"Autres outils à main (dont pompe, baleine, piolet, marteau, burin, coupe gazon, pointe et carrelet)"
"LHJ"	"Jigs (ligne à main ou avec canne)"
"PTT"	"Chaluts jumeaux b½ufs de fond"
"FCO"	"Paniers coiffants, filets lanternes"
"LVT"	"Lignes verticales"
"MDR"	"Filets de rabattage"
"MEL"	"Pêche électrique"
"MPN"	"Pousseux, Troubles"
"MSP"	"Epuisettes, Salabardes"
"SUX"	"Filet tournants (non spécifiées)"
"TSP"	"Chaluts semi-pélagiques"
"MDV"	"Plongée"
"PUK"	"Chaluts à perche électrique"
"PUL"	"Chaluts à perche électrique type "sumwing""
"OTP"	"Chaluts de fond multiples à panneaux"
