"METIER_COD"	"METIER_LIB"
"GNSDGX"	"Filets maillants calés à Squales (divers)"
"GNSTUR"	"Filets maillants à turbot"
"GTRBSS"	"Trémails à Bar commun"
"GTRSBX"	"Trémails à sparidés"
"GTRMZZ"	"Trémails à poissons"
"GTR_GA"	"Trémails à Gadidés (divers)"
"GTRLCR"	"Trémails à grands crustacés"
"GTRVLO"	"Trémails à langoustes"
"GTRPOL"	"Trémails à lieu jaune"
"GTRMNZ"	"Trémails à baudroies"
"GTRMAX"	"Trémails à maquereaux"
"GTRHKX"	"Trémails à Merlus (divers)"
"GTRWHG"	"Trémails à merlan"
"GTRMUL"	"Trémails à mulets"
"GTRSWM"	"Trémails à petits crustacés"
"GTRFLX"	"Trémails à poissons plats"
"GTRRAJ"	"Trémails à raies"
"GTR_RE"	"Trémails à Murex, Rochers"
"GTRMUX"	"Trémails à rougets"
"GTRSCO"	"Trémails à rascasses"
"GTRCTL"	"Trémails à seiches, sépioles"
"GTRSOX"	"Trémails à soles"
"GTRDGX"	"Trémails à Squales (divers)"
"GTRTUR"	"Trémails à turbot"
"MSPPIQ"	"Epuisettes, Salabardes à crevette blanche"
"MSPMZZ"	"Epuisettes, Salabardes à poissons (divers)"
"INA"	"Inactif à la pêche"
"INE"	"Navire inexistant"
"LA_ANE"	"Lamparo à anchois"
"AUTLAM"	"Lamanage, pilotage"
"LHBSS"	"Lignes de traîne, Lignes à main à Bar commun"
"LHPCOE"	"Lignes et cannes manuelles à congre"
"LH_SBX"	"Lignes à main à sparidés"
"LH_MZZ"	"Lignes à main à poissons"
"LH_GA"	"Lignes de traîne, Lignes à main à Gadidés (divers)"
"LH_XOX"	"Lignes à main à lançons"
"LH_POL"	"Lignes à main à lieu jaune"
"LH_MAX"	"Lignes à main à maquereaux"
"LH_MUL"	"Lignes à main à mulets"
"LH_FLX"	"Lignes à main à poissons plats"
"LH_CTL"	"Lignes à main à seiches"
"LH_TUN"	"Lignes à main à thons"
"LLBSS"	"Palangres diverses (non spécifiées) à Bar commun"
"LL_SBX"	"Palangres diverses à sparidés"
"LL_MZZ"	"Palangres diverses à poissons"
"LL_MAX"	"Palangres diverses à maquereaux"
"LL_RAJ"	"Palangres diverses à raies"
"LLDSBX"	"Palangres dérivantes à sparidés"
"LLDMZZ"	"Palangres dérivantes à poissons"
"LLD_GA"	"Palangres dérivantes à Gadidés (divers)"
"LLDPOL"	"Palangres dérivantes à lieu jaune"
"LLDMAX"	"Palangres dérivantes à maquereaux"
"LLDHKX"	"Palangres dérivantes à Merlus (divers)"
"LLDDGX"	"Palangres dérivantes à Squales (divers)"
"LLDTUN"	"Palangres dérivantes à thons"
"LLSBSS"	"Palangres de fond (calées) à Bar commun"
"LLSCOE"	"Palangres à congre"
"LLSSBX"	"Palangres à sparidés"
"LLSMZZ"	"Palangres à poissons"
"LLS_GA"	"Palangres de fond (calées) à Gadidés (divers)"
"LLSPOL"	"Palangres à lieu jaune"
"LLSMAX"	"Palangres à maquereaux"
"LLSHKX"	"Palangres de fond (calées) à Merlus (divers)"
"LLSMGR"	"Palangres à maigre"
"LLSWHG"	"Palangres à merlan"
"LLSMUL"	"Palangres à mulets"
"LLSFLX"	"Palangres à poissons plats"
"LLSRAJ"	"Palangres à raies"
"LLSMUX"	"Palangres à rougets"
"LLSSOX"	"Palangres à soles"
"LLSDGX"	"Palangres de fond (calées) à Squales (divers)"
"LNSMZZ"	"Filets soulevés du rivage à poissons"
"LNSMUL"	"Filets soulevés du rivage à mulets"
"LNSFLX"	"Filets soulevés du rivage à poissons plats"
"LVDBSS"	"Palangres verticales dérivantes à Bar commun"
"LVSBSS"	"Palangres verticales de fond à Bar commun"
"MYT"	"Mytiliculture"
"AQUOST"	"Ostréiculture"
"OT_MZZ"	"Chaluts à panneaux (non spécifiés) à poissons (divers)"
"DRBVEV"	"Dragues à praire"
"SDVVEV"	"Plongée à praire"
"MHIKLK"	"Pêche à pied à vernis fauve"
"FPOLBA"	"Casiers à homard américain"
"FPOLBE"	"Casiers à homard"
"GTRLBE"	"Trémails à homard"
"FPOUPC"	"Casiers à langoustine sculptée"
"MHITWV"	"Pêche à pied à oursin blanc"
"DRBURC"	"Dragues remorquées par un bateau à Oursins nca"
"UNKMZZ"	"Métier de pêche inconnu ou non référencé"
"DRBCLX"	"Dragues remorquées par bateau à bivalves (divers)"
"SDVMUS"	"Plongée sous-marine à Moule commune"
"SDVMSM"	"Plongée sous-marine à Moule méditerranéenne"
"OTBELE"	"Chaluts de fond à anguille"
"OTBANE"	"Chaluts de fond à anchois"
"OTBBSS"	"Chaluts de fond à panneaux (1 Navire) à Bar commun"
"OTBCPR"	"Chaluts de fond à bouquet"
"OTBSQU"	"Chaluts de fond à calmars, encornets"
"OTBJAX"	"Chaluts de fond à chinchards"
"OTBIOD"	"Chaluts de fond à crabe nageur"
"OTBCSH"	"Chaluts de fond à crevette grise"
"OTBCET"	"Chaluts de fond à céteau"
"OTBSBX"	"Chaluts de fond à sparidés"
"OTBMZZ"	"Chaluts de fond à poissons"
"OTB_GA"	"Chaluts de fond à panneaux (1 Navire) à Gadidés (divers)"
"OTBGUX"	"Chaluts de fond à grondins"
"OTBDWS"	"Chaluts de fond à poissons de grands fonds"
"OTBHER"	"Chaluts de fond à hareng"
"OTBXOX"	"Chaluts de fond à lançons"
"OTBPOL"	"Chaluts de fond à lieu jaune"
"OTBNEP"	"Chaluts de fond à langoustine"
"OTBMNZ"	"Chaluts de fond à baudroies"
"OTBPOK"	"Chaluts de fond à lieu noir"
"OTBMAX"	"Chaluts de fond à maquereaux"
"OTBHKX"	"Chaluts de fond à panneaux (1 Navire) à Merlus (divers)"
"OTBMGR"	"Chaluts de fond à maigre"
"OTBWHG"	"Chaluts de fond à merlan"
"OTBMUL"	"Chaluts de fond à mulets"
"OTBFLX"	"Chaluts de fond à poissons plats"
"OTBRAJ"	"Chaluts de fond à raies"
"OTBMUX"	"Chaluts de fond à rougets"
"OTBCTL"	"Chaluts de fond à seiches"
"OTBSOX"	"Chaluts de fond à soles"
"OTBDGX"	"Chaluts de fond à panneaux (1 Navire) à Squales (divers)"
"OTBQSC"	"Chaluts de fond à pétoncle blanc (vanneau)"
"OTMANE"	"Chaluts pélagiques à anchois"
"OTMBSS"	"Chaluts pélagiques à panneaux (1 Navire) à Bar commun"
"OTMSQU"	"Chaluts pélagiques à calmars, encornets"
"OTMJAX"	"Chaluts pélagiques à chinchards"
"OTMSBX"	"Chaluts pélagiques à sparidés"
"OTMMZZ"	"Chaluts pélagiques à poissons"
"OTM_GA"	"Chaluts pélagiques à panneaux (1 Navire) à Gadidés (divers)"
"OTMHER"	"Chaluts pélagiques à hareng"
"OTMPOL"	"Chaluts pélagiques à lieu jaune"
"OTMMAX"	"Chaluts pélagiques à maquereaux"
"OTMHKX"	"Chaluts pélagiques à panneaux (1 Navire) à Merlus (divers)"
"OTMWHG"	"Chaluts pélagiques à merlan"
"OTMMUL"	"Chaluts pélagiques à mulets"
"OTMPIL"	"Chaluts pélagiques à sardine"
"OTMTUN"	"Chaluts pélagiques à thons"
"SDV_CJ"	"Plongée avec bouteilles à coquilles Saint Jacques"
"SDVHLT"	"Plongée à ormeau"
"SDVINV"	"Plongée à invertébrés aquatiques"
"SDVCOR"	"Plongée sous-marine à Coraux"
"SDVDON"	"Plongée à donax (tellines)"
"SDVSWX"	"Plongée à algues"
"SDVMSX"	"Plongée sous-marine à Moules (divers)"
"SDVECH"	"Plongée sous-marine à Oursins, Echinodermes"
"SDV_PA"	"Plongée sous-marine à palourdes"
"SDVSSG"	"Plongée à violet"
"MHICOC"	"Pêche à pied à coque"
"MHIPEE"	"Pêche à pied à bigorneau"
"MHISWX"	"Pêche à pied à algues"
"MHIMSX"	"Pêche à pied à Moules (divers)"
"MHIECH"	"Pêche à pied à Oursins, Echinodermes"
"MHI_PA"	"Pêche à pied à palourdes"
"MHIPCB"	"Pêche à pied à pouce-pied"
"MHIWOR"	"Pêche à pied à vers marins"
"PREBSS"	"Charter de pêche de loisir à Bar commun"
"PREMZZ"	"Charter de pêche de loisir à poissons"
"PREMAX"	"Charter de pêche de loisir à maquereaux"
"AUTPRM"	"Promenade en mer"
"PS_ANE"	"Sennes coulissantes à anchois"
"PSBSS"	"Sennes tournantes coulissantes à Bar commun"
"PS_JAX"	"Sennes coulissantes à chinchards"
"PS_SBX"	"Sennes coulissantes à sparidés"
"PS_MZZ"	"Sennes coulissantes à poissons"
"PS_HER"	"Sennes coulissantes à hareng"
"PS_MAX"	"Sennes coulissantes à maquereaux"
"PS_MUL"	"Sennes coulissantes à mulets"
"PS_PIL"	"Sennes coulissantes à sardine"
"PS_TUN"	"Sennes coulissantes à thons"
"PT_MZZ"	"Divers chaluts b½ufs à poissons (divers)"
"PTBBSS"	"Chaluts boeufs de fond (2 Navires) à Bar commun"
"PTBSQU"	"Chaluts boeufs de fond à calmars, encornets"
"PTBSBX"	"Chaluts boeufs de fond à sparidés"
"PTBMZZ"	"Chaluts boeufs de fond à poissons"
"PTB_GA"	"Chaluts boeufs de fond (2 Navires) à Gadidés (divers)"
"PTBNEP"	"Chaluts boeufs de fond à langoustine"
"PTBMNZ"	"Chaluts boeufs de fond à baudroies"
"PTBHKX"	"Chaluts boeufs de fond (2 Navires) à Merlus (divers)"
"PTBWHG"	"Chaluts boeufs de fond à merlan"
"PTBFLX"	"Chaluts boeufs de fond à poissons plats"
"PTBCTL"	"Chaluts boeufs de fond à seiches"
"PTBSOX"	"Chaluts boeufs de fond à soles"
"PTMANE"	"Chaluts boeufs pélagiques à anchois"
"PTMBSS"	"Chaluts boeufs pélagiques (2 Navires) à Bar commun"
"PTMSQU"	"Chaluts boeufs pélagiques à calmars, encornets  "
"PTMJAX"	"Chaluts boeufs pélagiques à chinchards"
"PTMSBX"	"Chaluts boeufs pélagiques à sparidés"
"PTMMZZ"	"Chaluts boeufs pélagiques à poissons"
"PTMHER"	"Chaluts boeufs pélagiques à hareng"
"PTMPOL"	"Chaluts boeufs pélagiques à lieu jaune"
"PTMMAX"	"Chaluts boeufs pélagiques à maquereaux"
"PTMHKX"	"Chaluts boeufs pélagiques (2 Navires) à Merlus (divers)"
"PTMWHG"	"Chaluts boeufs pélagiques à merlan"
"PTMMUL"	"Chaluts boeufs pélagiques à mulets"
"PTMPIL"	"Chaluts boeufs pélagiques à sardine"
"PTMTUN"	"Chaluts boeufs pélagiques à thons"
"SB_MZZ"	"Sennes de plage à poissons"
"HMSSWX"	"Scoubidou à laminaire"
"SV_XOX"	"Sennes halées à bord à lançons"
"GESEL1"	"Tamis à civelle"
"TBBSQU"	"Chaluts à perche à calmars, encornets"
"TBBCSH"	"Chaluts à perche à crevette grise"
"TBBMZZ"	"Chaluts à perche à poissons"
"TBB_GA"	"Chaluts à perche à Gadidés (divers)"
"TBBFLX"	"Chaluts à perche à poissons plats"
"TBBSCO"	"Chaluts à perche à rascasses"
"TBBCTL"	"Chaluts à perche à seiches"
"TBBSOX"	"Chaluts à perche à soles"
"AUTSWX"	"Transport d'algues"
"OTTSQU"	"Chaluts jumeaux à calmars, encornets"
"OTTMZZ"	"Chaluts jumeaux à poissons"
"OTT_GA"	"Chaluts jumeaux à Gadidés (divers)"
"OTTDWS"	"Chaluts jumeaux à poissons de grands fonds"
"OTTNEP"	"Chaluts jumeaux à langoustine"
"OTTMNZ"	"Chaluts jumeaux à baudroies"
"OTTHKX"	"Chaluts jumeaux à Merlus (divers)"
"OTTFLX"	"Chaluts jumeaux à poissons plats"
"OTTRAJ"	"Chaluts jumeaux à raies"
"OTTMUX"	"Chaluts jumeaux à rougets"
"OTTCTL"	"Chaluts jumeaux à seiches"
"OTTSOX"	"Chaluts jumeaux à soles"
"OTTQSC"	"Chaluts jumeaux à panneaux à pétoncle blanc ou vanneau"
"VEN"	"Vénériculture"
"LNBMZZ"	"Filets soulevés d'un bateau à poissons"
"OTB_EP"	"Chaluts de fond à panneaux (1 Navire) à Eperlans (divers)"
"FPOLAU"	"Casiers à lamproie"
"AQUSWX"	"Algoculture"
"FDVSWX"	"Apnée à algues"
"DRBCOC"	"Dragues à coque"
"DRBINV"	"Dragues à invertébrés"
"FPOCZM"	"Casiers à bernard l'ermite  "
"FPOARA"	"Nasses (casiers non spécifiés) à crevette rouge"
"FPOMZZ"	"Nasses à poissons"
"FPO_GI"	"Casiers à girelles"
"FWRMZZ"	"Barrages, Parcs, Bordigues à poissons"
"FWRSBG"	"Barrages, Parcs, Bordigues à dorade royale"
"TMBMZZ"	"Grands ganguis à armature à poissons"
"GNCSIL"	"Filets maillants encerclants à athérines (divers)"
"GNCMZZ"	"Filets maillants encerclants à poissons"
"GNCSBG"	"Filets maillants encerclants à dorade royale"
"GNCMUL"	"Filets maillants encerclants à mulets"
"GNDBZX"	"Filets maillants dérivants à bonites"
"GNDPIL"	"Filets maillants dérivants à sardine"
"GNDBFT"	"Filets maillants dérivants à thon rouge"
"GNEBSS"	"Filets flottants (maillants calés) à Bar commun"
"GNSBZX"	"Filets maillants à bonites"
"GNSSBG"	"Filets maillants à dorade royale"
"GNSVLO"	"Filets maillants à langoustes"
"GNSLAU"	"Filets maillants à lamproie marine"
"GNSPIL"	"Filets maillants à sardine"
"GNSBFT"	"Filets maillants  à thon rouge"
"GTNBSS"	"Trémails et filets maillants combinés à Bar commun"
"GTNBZX"	"Trémails et filets maillants à bonites"
"GTNSBX"	"Trémails et filets maillants à sparidés"
"GTNMZZ"	"Trémails et filets maillants à poissons"
"GTNSBG"	"Trémails et filets maillants à dorade royale"
"GTNSCO"	"Trémails et filets maillants à rascasses"
"GTRLOS"	"Trémails à cigales"
"GTRSBG"	"Trémails à dorade royale"
"GTRLBS"	"Trémails à Homards (divers)"
"GTRMGR"	"Trémails à maigre"
"MSPCPR"	"Epuisettes, Salabardes à crevette bouquet ou bouquet commun"
"MPNCSH"	"Pousseux, Troubles à crevette grise"
"MSPPIL"	"Epuisettes, Salabardes à sardine commune"
"LH_BZX"	"Lignes à main à bonites"
"LH_SBR"	"Lignes à main à dorade rose"
"LH_OCT"	"Lignes à main à poulpes"
"LH_BFT"	"Lignes à main à thon rouge"
"LHMBSS"	"Lignes et lignes avec cannes mécanisées à Bar commun"
"LHMMZZ"	"Lignes à main et à cannes mécanisées à poissons"
"LHPBSS"	"Lignes à main et lignes avec cannes à Bar commun"
"LHPMZZ"	"Lignes et cannes manuelles à poissons"
"LHPMAX"	"Lignes et cannes manuelles à maquereaux"
"LHPOCT"	"Lignes et cannes manuelles à poulpes"
"LHPJOD"	"Lignes et cannes manuelles à Saint-Pierre"
"LLDBSS"	"Palangres dérivantes à Bar commun"
"LLDBRZ"	"Palangres dérivantes à castagnoles (divers)"
"LLDSWO"	"Palangres dérivantes à espadon"
"LLDBFT"	"Palangres dérivantes à thon rouge"
"LLFBSS"	"Palangres calées flottantes à Bar commun"
"LLFSBG"	"Palangres flottantes à dorade royale"
"LLSELE"	"Palangres  à anguille"
"LLSSBR"	"Palangres de fond à dorade rose"
"LLSSBG"	"Palangres à dorade royale"
"LLSCUT"	"Palangres à sabres  "
"LNBMUL"	"Filets soulevés du bateau à mulets"
"LNBFLX"	"Filets soulevés du bateau à poissons plats"
"LNSELE"	"Filets soulevés du rivage à anguille"
"LSPBSS"	"Lignes calées (avec ou sans canne) à Bar commun"
"LTLBSS"	"Lignes de traîne à Bar commun"
"LTLBZX"	"Lignes de traîne à bonites"
"LTLMZZ"	"Lignes de traîne à poissons"
"LTLSWO"	"Lignes de traîne à espadons"
"LTLMAX"	"Lignes de traîne à maquereaux"
"LTLBFT"	"Lignes de traîne à thon rouge"
"OTBSBG"	"Chaluts de fond à dorade royale"
"OTBOST"	"Chaluts de fond à huîtres"
"SDVMZZ"	"Plongée à poissons"
"SDV_PR"	"Plongée sous-marine à praires"
"MHIRAZ"	"Pêche à pied à couteaux"
"MHIINV"	"Pêche à pied à invertébrés"
"MHIOST"	"Pêche à pied à huîtres"
"MHI_SL"	"Pêche à pied à salicorne"
"PREBFT"	"Charter de pêche de loisir à thon rouge"
"PS_BFT"	"Sennes coulissantes à thon rouge"
"SB_RE"	"Sennes de plage à Murex, Rochers"
"SB_PIL"	"Sennes de plage à sardine"
"SV_MZZ"	"Sennes halées à bord à poissons"
"TBB_CJ"	"Chaluts à perche à coquilles Saint Jacques"
"GNSCOD"	"Filets maillants à morue"
"OTTCSH"	"Chaluts jumeaux à crevette grise"
"FPO_CV"	"Nasses/Casiers à Crabes verts (divers)"
"FPOLIO"	"Casiers à étrille"
"OTGZZZ"	"Engins traînants à divers espèces"
"OFGZZZ"	"Engins dormants à divers"
"OFGMSH"	"Engins dormants à coquillages (divers)"
"OFGDCP"	"Engins dormants à crevettes (divers)"
"OFGMZZ"	"Engins dormants à poissons (divers)"
"OFGDIA"	"Engins dormants à saumon, truite, aloses (divers)"
"OTGDIA"	"Engins traînants à saumon, truite, aloses (divers)"
"OTGDCP"	"Engins traînants à crevettes (divers)"
"LNB_EP"	"Filets soulevés manoeuvrés du bateau à Eperlans (divers)"
"HMSHLZ"	"Scoubidou à himanthale"
"MHIASN"	"Pêche à pied à goëmon"
"FPOIYL"	"Nasses (casiers non spécifiés) à bichique (alevin de cabot)"
"FPODCP"	"Casiers à crevettes"
"FPONAS"	"Casiers à poisson licorne"
"GNSPWT"	"Filets maillants à perroquets"
"LHPSQU"	"Lignes et cannes manuelles à calmars, encornets"
"LHJTUN"	"Jigs à thons"
"LHPLPF"	"Lignes et cannes manuelless à grands pélagiques"
"LHPSPF"	"Lignes et cannes manuelles à petits pélagiques"
"LHMSQU"	"Lignes à main et à cannes mécanisées à calmars, encornets"
"LLSTOP"	"Palangres calées (fixes) à légine australe"
"LLSEBS"	"Palangres à mochong"
"LLS_MS"	"Palangres à mérous"
"LLSUSB"	"Palangres à vieille commune"
"LLSSNX"	"Palangres à vivaneaux"
"LNPRAQ"	"Filets soulevés portatifs à crabe girafe"
"LTLLPF"	"Lignes de traîne à grands pélagiques"
"LTLSPF"	"Lignes de traîne à petits pélagiques"
"LVDDOX"	"Palangres verticales dérivantes à dorades coryphènes"
"LVDLPF"	"Palangres verticales dérivantes à grands pélagiques"
"AUTAFP"	"Affrètement commercial"
"FDVHLT"	"Apnée à ormeau"
"FDVINV"	"Apnée à invertébrés"
"FDV_EC"	"Apnée à éponges, coraux"
"FDVDON"	"Apnée à donax (tellines)"
"FDVLCR"	"Apnée à grands crustacés  "
"FDVMSX"	"Apnée à Moules (divers)"
"FDVECH"	"Apnée à Oursins, Echinodermes"
"FDV_PA"	"Apnée à palourdes"
"FDV_RE"	"Apnée à Murex, Rochers"
"FDVSSG"	"Apnée à violet"
"AQUBSS"	"Aquaculture à Bar commun"
"AQUSBX"	"Aquaculture à sparidés"
"AQUMZZ"	"Aquaculture à poissons  "
"AQUSLZ"	"Aquaculture à salmonidés"
"FAGELE"	"Balais, Fagots à anguille"
"FAGCPR"	"Balais, Fagots à bouquet"
"AQUCLX"	"Conchyliculture"
"CON_PA"	"Conchyliculture de palourdes"
"AUTDEP"	"Dépollution"
"DRBGKL"	"Dragues à amande de mer"
"DRBPIQ"	"Dragues à crevette blanche"
"DRB_CJ"	"Dragues remorquées par un bateau à coquilles Saint Jacques"
"DRBMSH"	"Dragues remorquées par bateau à coquillages (divers)"
"DRBSWX"	"Dragues à algues"
"DRBOST"	"Dragues à huîtres"
"DRBXOX"	"Dragues à lançons"
"DRBMSX"	"Dragues remorquées par un bateau à Moules (divers)"
"DRBECH"	"Dragues remorquées par un bateau à Oursins, Echinodermes"
"DRB_PA"	"Dragues remorquées par un bateau à  palourdes"
"DRBVSC"	"Dragues à pétoncle noir"
"DRBFLX"	"Dragues à poissons plats"
"DRB_PR"	"Dragues remorquées par un bateau à praires"
"DRB_RE"	"Dragues remorquées par un bateau à Murex, Rochers"
"DRBMAT"	"Dragues à mactres, spisules"
"DRBSOX"	"Dragues à soles"
"DRBQSC"	"Dragues à pétoncle blanc (vanneau)"
"DHBMSX"	"Dragues à main embarquées à Moules (divers)"
"DHB_PA"	"Dragues à main embarquées à palourdes"
"DHSDON"	"Dragues à main de rivage à tellines"
"AUTEXT"	"Extraction d'eau ou de granulats"
"FPOELE"	"Casiers à anguille"
"FPOPIQ"	"Casiers à crevette blanche"
"FPOCPR"	"Casiers à bouquet"
"FPOWHE"	"Casiers à buccin"
"FPOIOD"	"Casiers à crabe nageur"
"FPOCOE"	"Casiers à congre"
"FPOLCR"	"Casiers à grands crustacés"
"FPOLBS"	"Nasses/Casiers à Homards (divers)"
"FPOVLO"	"Casiers à langoustes "
"FPONEP"	"Casiers à langoustine"
"FPOOCT"	"Casiers à poulpes"
"FPOCTL"	"Casiers à seiches"
"FYKELE"	"Verveux à anguille"
"FYKCOE"	"Verveux à congre"
"FYKMZZ"	"Verveux à poissons"
"GENSBX"	"Filets maillants et emmêlants à sparidés"
"GENMZZ"	"Filets maillants et emmêlants à poissons"
"GENMNZ"	"Filets maillants et emmêlants à baudroies"
"GN_MZZ"	"Filets maillants à poissons"
"GNCBSS"	"Filets maillants encerclants à Bar commun"
"GNCSBX"	"Filets maillants encerclants à sparidés"
"GNCMAX"	"Filets maillants encerclants à maquereaux"
"GNDBSS"	"Filets maillants dérivants à Bar commun"
"GNDMZZ"	"Filets maillants dérivants à poissons"
"GND_GA"	"Filets maillants dérivants à Gadidés (divers)"
"GNDHER"	"Filets maillants dérivants à hareng"
"GNDPOL"	"Filets maillants dérivants à lieu jaune"
"GNDLAU"	"Filets maillants dérivants à lamproie"
"GNDMAX"	"Filets maillants dérivants à maquereaux"
"GNDHKX"	"Filets maillants dérivants à Merlus (divers)"
"GNDMGR"	"Filets maillants dérivants à maigre"
"GNDWHG"	"Filets maillants dérivants à merlan"
"GNDMUL"	"Filets maillants dérivants à mulets"
"GNDMUX"	"Filets maillants dérivants à rougets"
"GNDDGX"	"Filets maillants dérivants à Squales (divers)"
"GNDTUN"	"Filets maillants dérivants à thons"
"GNSBSS"	"Filets maillants calés à Bar commun"
"GNSSQU"	"Filets maillants à calmars, encornets"
"GNSSBX"	"Filets maillants à sparidés"
"GNSMZZ"	"Filets maillants à poissons"
"GNS_GA"	"Filets maillants calés à Gadidés (divers)"
"GNSLCR"	"Filets maillants à grands crustacés"
"GNSPOL"	"Filets maillants à lieu jaune"
"GNSMNZ"	"Filets maillants à baudroies"
"GNSMAX"	"Filets maillants à maquereaux"
"GNSHKX"	"Filets maillants calés à Merlus (divers)"
"GNSMGR"	"Filets maillants à maigre"
"GNSWHG"	"Filets maillants à merlan"
"GNSMUL"	"Filets maillants à mulets"
"GNSSWM"	"Filets maillants câlés à petits crustacés"
"GNSFLX"	"Filets maillants à poissons plats"
"GNSRAJ"	"Filets maillants à raies"
"GNSMUX"	"Filets maillants à rougets"
"GNSCTL"	"Filets maillants à seiches"
"GNSSOX"	"Filets maillants à soles"
"LHPBIS"	"Lignes et cannes manuelles à sélar coulisou"
"LX_LPF"	"Palangres et lignes à grands pélagiques"
"PSBEN"	"Sennes tournantes coulissantes à Orphies, Aiguilles"
"LLDLPF"	"Palangres dérivantes à grands pélagiques"
"PS_SPF"	"Sennes coulissantes à petits pélagiques"
"MHICON"	"Pêche à pied à lambis"
"MHIMZZ"	"Pêche à pied à poissons"
"MHITDG"	"Pêche à pied à bénitier"
"FPOCRG"	"Nasses/Casiers à Crabe vert"
"GNCSSB"	"Filets maillants encerclants à marbré"
"GNESBG"	"Filets maillants flottants à dorade royale"
"GNSSSB"	"Filets maillants à marbré"
"GNSSWA"	"Filets maillants calés à Sar commun"
"GTRSSB"	"Trémails à marbré"
"LHPYFT"	"Lignes et cannes manuelles à albacore"
"LTLYFT"	"Lignes de traîne à albacore"
"SV_SPF"	"Sennes halées à bord à petits pélagiques"
"OTMWHB"	"Chaluts pélagiques à panneaux à merlan bleu"
"GNESHZ"	"Filets maillants flottants à aloses"
"FDVLPF"	"Apnée à grands pélagiques (divers)"
"GTRLAU"	"Trémails à lamproie"
"AQUMYV"	"Mytiliculture"
"LLSJOD"	"Palangres à Saint-Pierre"
"FSNDCP"	"Filets à l'étalage (diables) à crevettes"
"LHPEET"	"Lignes et cannes manuelles à mérou géant"
"LLSEET"	"Palangres à mérou géant"
"FPOCAL"	"Casiers à crabes Callinectes"
"GNSMSD"	"Filets maillants à comète maquereau"
"LLSDG2"	"Palangres de fond (calées) à Requins"
"LTLTUN"	"Lignes de traîne à thons"
"SB_TUN"	"Sennes de plage à thons"
"FDVTWV"	"Apnée à oursin blanc"
"GNSMUM"	"Filets maillants à rougets et poissons chèvres"
"MHIKDG"	"Pêche à pied à crabe de terre"
"MISMZZ"	"Divers engins à poissons (divers)"
"GTRBAI"	"Trémails à poissons batoïdes"
"GNSBAI"	"Filets maillants à poissons batoïdes ou rajiformes"
"SPRMZZ"	"Sennes boeufs à poissons"
"SDNMAX"	"Sennes danoises à maquereaux"
"SDNWHG"	"Sennes danoises à merlan"
"SDNBSE"	"Sennes danoises à bars"
"MHIMSM"	"Pêche à pied à Moule méditerranéenne"
"SDVOYF"	"Plongée à huître plate"
"SDVOYG"	"Plongée sous-marine à Huîtres creuses"
"FDVOYG"	"Apnée à Huîtres creuses"
"FDVOYF"	"Apnée à huître plate"
"MHIOYF"	"Pêche à pied à huître plate"
"MHIOYG"	"Pêche à pied à Huîtres creuses"
"OTBOYF"	"Chaluts de fond à huître plate"
"OTBOYG"	"Chaluts de fond à panneaux (1 Navire) à Huîtres creuses"
"LTLBLF"	"Lignes de traîne à thon à nageoires noires"
"GTRDEC"	"Trémails à denté"
"LLFSBX"	"Palangres flottantes à sparidés"
"LLSBSH"	"Palangres à peau bleue"
"LLFMZZ"	"Palangres flottantes à poissons"
"MHIUCC"	"Pêche à pied à crabe mantou"
"FDVMSM"	"Apnée à Moule méditerranéenne"
