"METIER_DCF_5_COD"	"METIER_DCF_5_LIB"
"GNS_LPF"	"Filets maillants calés - Grands pélagiques"
"SDN_DEF"	"Sennes danoises - Poissons démersaux"
"DIV_SWD"	"Plongée - Algues"
"GTR_DEF"	"Trémails - Poissons démersaux"
"OTT_DWS"	"Chaluts de fond jumeaux à panneaux - Espèces profondes"
"FPO_CAT"	"Nasses et pièges - Poissons catadromes"
"LHP_FIF"	"Lignes à main et lignes à cannes - Poissons à nageoires"
"OTB_MOL"	"Chaluts de fond à panneaux - Mollusques"
"MIS_MOL"	"Divers - Mollusques"
"SB_FIF"	"Sennes de plage - Poissons à nageoires"
"PS_LPF"	"Sennes coulissantes - Grands pélagiques"
"DRB_CRU"	"Dragues - Crustacés"
"REC_LPF"	"Pêche récréative - Grands pélagiques"
"DIV_DEF"	"Plongée - Poissons démersaux"
"FOO_CEP"	"Pêche à pied - Céphalopodes"
"GNS_ANA"	"Filets maillants calés - Poissons anadromes"
"SSC_CEP"	"Sennes écossaises à calmars, encornets"
"LLD_SPF"	"Palangres dérivantes - Petits pélagiques"
"OTB_CRU"	"Chaluts de fond à panneaux - Crustacés"
"OTB_SPF"	"Chaluts de fond à panneaux - Petits pélagiques"
"PTB_CRU"	"Chaluts-b½ufs de fond - Crustacés"
"OTM_DEF"	"Chaluts pélagiques à panneaux - Poissons démersaux"
"LHP_LPF"	"Lignes à main et lignes à cannes - Grands pélagiques"
"MIS_SWD"	"Divers - Algues"
"FOO_DES"	"Pêche à pied - Espèces démersales"
"GTR_CEP"	"Trémails - Céphalopodes"
"SV_FIF"	"Sennes de bateaux - Poissons à nageoires"
"SDN_CEP"	"Sennes danoises - Céphalopodes"
"OTH_EEL"	"Autres engins - Civelle"
"REC_DEF"	"Pêche récréative - Poissons démersaux"
"DIV_LPF"	"Plongée - Grands pélagiques"
"SV_SPF"	"Sennes de bateaux - Petits pélagiques"
"GNC_DEF"	"Filets maillants encerclants - Poissons démersaux"
"DRB_SWD"	"Dragues - Algues"
"PTB_CEP"	"Chaluts-b½ufs de fond - Céphalopodes"
"OTM_CEP"	"Chaluts pélagiques à panneaux - Céphalopodes"
"FWR_DEF"	"Barrages, parcs, bordigues, etc - Poissons démersaux"
"INA"	"Inactifs"
