"","year","metier6","port","vslLenCat","trpNum","daysAtSea"
"1",2010,"","1CH","15-18",12,12
"2",2010,"","2CH","18-24",7.69755557729603,10.1212308012141
"3",2010,"","ABL","10-12",1,0
"4",2010,"","ACN","15-18",11.3018529537468,10.3018529537468
"5",2010,"","ADP","10-12",9.33333333333333,9.66666666666667
"6",2010,"","ADP","12-15",0.333333333333333,0
"7",2010,"","ADP","15-18",62.1284586675521,64.5324879715814
"8",2010,"","ADP","18-24",1.98076923076923,1
"9",2010,"","ADP","24-40",3.86216393255867,3
"10",2010,"","AFC","u10",6,6
"11",2010,"","ALS","18-24",0.166666666666667,0
"12",2010,"","BCN","15-18",27.7178892620473,21.8720662043738
"13",2010,"","BDP","15-18",5,5
"14",2010,"","BSN","15-18",0.678623188405797,0
"15",2010,"","BSN","18-24",2.77916666666667,2
"16",2010,"","CCH","12-15",10.15,3.33333333333333
"17",2010,"","CCH","15-18",122.320280875826,104.423392388299
"18",2010,"","CCH","18-24",36.8333333333333,36
"19",2010,"","CCH","u10",5.16666666666667,5.16666666666667
"20",2010,"","CCN","u10",21.5,21.5
"21",2010,"","CDP","15-18",3,3
"22",2010,"","CFC","15-18",0.248922413793104,0.497844827586207
"23",2010,"","DCH","15-18",60.9069076133447,48.0461933276305
"24",2010,"","DCN","12-15",0.4,0
"25",2010,"","DCN","15-18",1.99717998086127,1.63721710457969
"26",2010,"","EBL","15-18",1,1
"27",2010,"","FBL","15-18",1,1
"28",2010,"","FCH","18-24",6.75397711761348,7.21311394038667
"29",2010,"","FR022","18-24",1.09457934601526,1.234209736159
"30",2010,"","GMX","18-24",1.43828742474691,0
"31",2010,"","GMX","24-40",0.133333333333333,0
"32",2010,"","HCN","12-15",1,1
"33",2010,"","HCN","15-18",8.26702392793999,2.41265884857491
"34",2010,"","HSB","15-18",1.75,0
"35",2010,"","LCN","12-15",2,1.16797525291861
"36",2010,"","LCN","15-18",11.6015151515152,6.24675324675325
"37",2010,"","LCN","18-24",4.39993011906958,0
"38",2010,"","LCN","u10",1,0
"39",2010,"","LCN",NA,1,0
"40",2010,"","MMX","18-24",0.153846153846154,0
"41",2010,"","NCN","10-12",1,0.0707915506672465
